ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-03-01,6225.124640000001,4298.955676230337,5544.421906941201,6225.124640000001,6225.124640000001,-1284.6767796353258,-1284.6767796353258,-1284.6767796353258,-1284.6767796353258,-1284.6767796353258,-1284.6767796353258,0.0,0.0,0.0,4940.447860364675
2022-03-02,6264.269462724139,3781.363809286125,5021.963600310452,6264.269462724139,6264.269462724139,-1853.4104753791876,-1853.4104753791876,-1853.4104753791876,-1853.4104753791876,-1853.4104753791876,-1853.4104753791876,0.0,0.0,0.0,4410.858987344951
2022-03-03,6303.41428517868,4623.222256555234,5838.374206359006,6303.41428517868,6303.41428517868,-1018.9606231058627,-1018.9606231058627,-1018.9606231058627,-1018.9606231058627,-1018.9606231058627,-1018.9606231058627,0.0,0.0,0.0,5284.453662072818
2022-03-04,6342.559107651551,7230.010582424317,8498.336416942722,6342.559107651551,6342.559107651551,1516.6967328828318,1516.6967328828318,1516.6967328828318,1516.6967328828318,1516.6967328828318,1516.6967328828318,0.0,0.0,0.0,7859.2558405343825
2022-03-05,6381.703929814856,9033.919090280993,10236.223804853755,6381.703929814856,6381.703929814856,3231.4063642820524,3231.4063642820524,3231.4063642820524,3231.4063642820524,3231.4063642820524,3231.4063642820524,0.0,0.0,0.0,9613.110294096909
2022-03-06,6420.848751992497,6699.647273209289,7964.198350511822,6420.848751992497,6420.848751992497,916.3621955588566,916.3621955588566,916.3621955588566,916.3621955588566,916.3621955588566,916.3621955588566,0.0,0.0,0.0,7337.2109475513535
2022-03-07,6459.993573872632,4343.420500874526,5583.779209455558,6459.993573872632,6459.993573872632,-1507.4174146032808,-1507.4174146032808,-1507.4174146032808,-1507.4174146032808,-1507.4174146032808,-1507.4174146032808,0.0,0.0,0.0,4952.576159269351
2022-03-08,6499.138395650065,4583.3043230408675,5850.707876928591,6499.138395650065,6499.138395650065,-1284.676779635032,-1284.676779635032,-1284.676779635032,-1284.676779635032,-1284.676779635032,-1284.676779635032,0.0,0.0,0.0,5214.461616015033
2022-03-09,6538.283217250605,4064.1986358440276,5279.777142901926,6538.283217250605,6538.283217250605,-1853.4104753778597,-1853.4104753778597,-1853.4104753778597,-1853.4104753778597,-1853.4104753778597,-1853.4104753778597,0.0,0.0,0.0,4684.872741872745
2022-03-10,6577.428039034694,4971.256097647043,6226.891453030248,6577.428039034694,6577.428039034694,-1018.96062310469,-1018.96062310469,-1018.96062310469,-1018.96062310469,-1018.96062310469,-1018.96062310469,0.0,0.0,0.0,5558.467415930004
2022-03-11,6616.57286079156,7535.6674402815925,8742.12016490557,6616.57286079156,6616.57286079156,1516.6967328865007,1516.6967328865007,1516.6967328865007,1516.6967328865007,1516.6967328865007,1516.6967328865007,0.0,0.0,0.0,8133.26959367806
2022-03-12,6655.7176827937965,9218.974390755859,10498.730682062715,6655.7176827937965,6655.7176827937965,3231.406364282697,3231.406364282697,3231.406364282697,3231.406364282697,3231.406364282697,3231.406364282697,0.0,0.0,0.0,9887.124047076493
2022-03-13,6694.86250507347,6979.747605191007,8286.874334843653,6694.86250507347,6694.86250507347,916.362195555444,916.362195555444,916.362195555444,916.362195555444,916.362195555444,916.362195555444,0.0,0.0,0.0,7611.224700628914
2022-03-14,6734.007327626501,4566.111611151897,5860.565642117747,6734.007327626501,6734.007327626501,-1507.4174146003988,-1507.4174146003988,-1507.4174146003988,-1507.4174146003988,-1507.4174146003988,-1507.4174146003988,0.0,0.0,0.0,5226.589913026102
2022-03-15,6773.152150281618,4870.257840805016,6082.200742179871,6773.152150281618,6773.152150281618,-1284.6767796353797,-1284.6767796353797,-1284.6767796353797,-1284.6767796353797,-1284.6767796353797,-1284.6767796353797,0.0,0.0,0.0,5488.475370646238
2022-03-16,6812.296972966614,4398.541152414202,5582.8639861969605,6812.296972966614,6812.296972966614,-1853.410475378159,-1853.410475378159,-1853.410475378159,-1853.410475378159,-1853.410475378159,-1853.410475378159,0.0,0.0,0.0,4958.886497588455
2022-03-17,6851.441795628219,5191.300491469552,6526.995243751369,6851.441795628219,6851.441795628219,-1018.9606231035174,-1018.9606231035174,-1018.9606231035174,-1018.9606231035174,-1018.9606231035174,-1018.9606231035174,0.0,0.0,0.0,5832.481172524701
2022-03-18,6890.586618254873,7784.500885873597,9036.974253368984,6890.586618254873,6890.586618254873,1516.696732887931,1516.696732887931,1516.696732887931,1516.696732887931,1516.696732887931,1516.696732887931,0.0,0.0,0.0,8407.283351142803
2022-03-19,6929.731440747764,9571.815889972033,10800.292139991685,6929.731440747764,6929.731440747764,3231.406364281936,3231.406364281936,3231.406364281936,3231.406364281936,3231.406364281936,3231.406364281936,0.0,0.0,0.0,10161.1378050297
2022-03-20,6968.876263417969,7243.1760588052875,8509.863353476669,6968.876263417969,6968.876263417969,916.3621955520312,916.3621955520312,916.3621955520312,916.3621955520312,916.3621955520312,916.3621955520312,0.0,0.0,0.0,7885.2384589700005
2022-03-21,7008.021085937081,4908.458567747609,6123.732082009279,7008.021085937081,7008.021085937081,-1507.4174146013556,-1507.4174146013556,-1507.4174146013556,-1507.4174146013556,-1507.4174146013556,-1507.4174146013556,0.0,0.0,0.0,5500.603671335725
2022-03-22,7047.214382369295,5138.719986650581,6386.846402883388,7047.214382369295,7047.214382369295,-1284.6767796344434,-1284.6767796344434,-1284.6767796344434,-1284.6767796344434,-1284.6767796344434,-1284.6767796344434,0.0,0.0,0.0,5762.537602734852
2022-03-23,7086.407682186814,4597.946677469152,5900.617516624624,7086.407682186814,7086.407682186814,-1853.4104753784582,-1853.4104753784582,-1853.4104753784582,-1853.4104753784582,-1853.4104753784582,-1853.4104753784582,0.0,0.0,0.0,5232.997206808355
2022-03-24,7125.694231275473,5491.769286263868,6745.621643778042,7125.694231275473,7125.694231275473,-1018.9606231017325,-1018.9606231017325,-1018.9606231017325,-1018.9606231017325,-1018.9606231017325,-1018.9606231017325,0.0,0.0,0.0,6106.73360817374
2022-03-25,7165.025863653786,8056.162031944743,9317.447658033994,7165.025863653786,7165.025863653786,1516.6967328778424,1516.6967328778424,1516.6967328778424,1516.6967328778424,1516.6967328778424,1516.6967328778424,0.0,0.0,0.0,8681.722596531628
2022-03-26,7204.3574960320975,9830.11292942886,11049.394168218994,7204.3574960320975,7204.3574960320975,3231.406364283602,3231.406364283602,3231.406364283602,3231.406364283602,3231.406364283602,3231.406364283602,0.0,0.0,0.0,10435.7638603157
2022-03-27,7243.68912841041,7536.297978065946,8791.827366789645,7243.68912841041,7243.68912841041,916.362195550031,916.362195550031,916.362195550031,916.362195550031,916.362195550031,916.362195550031,0.0,0.0,0.0,8160.051323960442
2022-03-28,7283.020760788722,5179.699771775477,6461.974535103318,7283.020760788722,7283.020760788722,-1507.4174146023117,-1507.4174146023117,-1507.4174146023117,-1507.4174146023117,-1507.4174146023117,-1507.4174146023117,0.0,0.0,0.0,5775.603346186411
2022-03-29,7322.352393167035,5422.088412061182,6671.372340333116,7322.352393167035,7322.352393167035,-1284.6767796347915,-1284.6767796347915,-1284.6767796347915,-1284.6767796347915,-1284.6767796347915,-1284.6767796347915,0.0,0.0,0.0,6037.675613532244
2022-03-30,7361.684025545348,4948.580690148914,6179.59745614026,7361.684025545348,7361.684025545348,-1853.4104753771298,-1853.4104753771298,-1853.4104753771298,-1853.4104753771298,-1853.4104753771298,-1853.4104753771298,0.0,0.0,0.0,5508.273550168218
2022-03-31,7401.01565792366,5721.50395268884,6975.00723877495,7401.010699912515,7401.021348839446,-1018.9606230999481,-1018.9606230999481,-1018.9606230999481,-1018.9606230999481,-1018.9606230999481,-1018.9606230999481,0.0,0.0,0.0,6382.055034823712
2022-04-01,7440.347290301973,8346.986321662756,9572.818857588958,7440.331160622676,7440.365632097532,1516.696732880392,1516.696732880392,1516.696732880392,1516.696732880392,1516.696732880392,1516.696732880392,0.0,0.0,0.0,8957.044023182365
2022-04-02,7479.678922680285,10104.94937320131,11330.628486136215,7479.651110938682,7479.714533004366,3231.4063642814367,3231.4063642814367,3231.4063642814367,3231.4063642814367,3231.4063642814367,3231.4063642814367,0.0,0.0,0.0,10711.085286961721
2022-04-03,7519.010555058598,7843.282703772364,9088.008864492385,7518.963829759765,7519.068089376739,916.3621955480302,916.3621955480302,916.3621955480302,916.3621955480302,916.3621955480302,916.3621955480302,0.0,0.0,0.0,8435.372750606628
